#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
"Mourdet Winery:  Danville Winery&#x27;s new wine was introduced to compete with our most popular wine, which is sold in a distinctive tall, black bottle.  Danville uses a similar bottle.  Thus, it is likely that many customers intending to buy our wine will mistakenly buy theirs instead.<br><br>Danville Winery:  Not so.  The two bottles can be readily distinguished:  the label on ours, but not on theirs, is gold colored.<br><br>Which of the following, if true, most undermines Danville Winery&#x27;s response?",Gold is the background color on the label of many of the wines produced by Danville Winery.,"When the bottles are viewed side by side, Danville Winery&#x27;s bottle is perceptibly taller than Mourdet Winery&#x27;s.","Danville Winery, unlike Mourdet Winery, displays its wine&#x27;s label prominently in advertisements.",It is common for occasional purchasers to buy a bottle of wine on the basis of a general impression of the most obvious feature of the bottle.,Many popular wines are sold in bottles of a standard design.,D,,GMAT::Verbal::CriticalReasoning
"Finding of a survey of Systems magazine subscribers:  Thirty percent of all merchandise orders placed by subscribers in response to advertisements in the magazine last year were placed by subscribers under age thirty-five.<br><br>Finding of a survey of advertisers in Systems magazine:  Most of the merchandise orders placed in response to advertisements in Systems last year were placed by people under age thirty-five.<br><br>For both of the findings to be accurate, which of the following must be true?",More subscribers to Systems who have never ordered merchandise in response to advertisements in the magazine are age thirty-five or over than are under age thirty-five.,"Among subscribers to Systems, the proportion who are under age thirty-five was considerably lower last year than it is now.",Most merchandise orders placed in response to advertisements in Systems last year were placed by Systems subscribers over age thirty-five.,"Last year, the average dollar amount of merchandise orders placed was less for subscribers under age thirty-five than for those age thirty-five or over.",Last year many people who placed orders for merchandise in response to advertisements in Systems were not subscribers to the magazine.,E,,GMAT::Verbal::CriticalReasoning
"Which of the following most logically completes the argument?<br><br>United States manufacturers currently produce most of the world&#x27;s solar-power generators--most of which are exported to Europe.  However, European manufacturers are emerging and probably will ultimately capture much of the European market.  The United States government is funding initiatives intended to encourage use of solar power within the United States.  If these initiatives succeed in increasing the demand for solar-power generators in the United States, United States manufacturers will probably maintain significant production levels, since __________.",some United States manufacturers have been substantially increasing their output over the last several years,the efficiency of solar-power generators in converting energy from the Sun into electric power is not improving as fast as it once did,"just as European manufacturers enjoy certain competitive advantages in Europe, so do United States manufacturers in the United States",European governments are currently undertaking initiatives to stimulate the use of solar power within Europe,the current market for solar-power generators in the United States is very limited,C,,GMAT::Verbal::CriticalReasoning
"The higher the level of certain vitamins and minerals in the bloodstream, the better a person&#x27;s lung function, as measured by the amount of air the person can expel in one second.  The lung function of smokers is significantly worse, on average, than that of nonsmokers.  Clearly, therefore, one way for smokers to improve their lung function is for them to increase their intake of foods that are rich in these helpful vitamins and minerals.<br><br>Which of the following is an assumption on which this argument depends?",Smokers are less likely than nonsmokers to have diets that are rich in vitamins and minerals.,The lung function of smokers whose diets are rich in those vitamins and minerals is generally better than that of nonsmokers with comparable diets.,People whose diets are deficient in those vitamins and minerals do not typically have other health problems in addition to diminished lung function.,Stopping smoking will not typically improve lung function more than any diet changes can.,Smoking does not introduce into the body chemicals that prevent the helpful vitamins and minerals from entering the bloodstream.,E,,GMAT::Verbal::CriticalReasoning
"Astronomer: Observations of the Shoemaker-Levi comet on its collision course with Jupiter showed that the comet broke into fragments before entering Jupiter&#x27;s atmosphere in 1994, but they did not show how big those fragments were.  In hopes of gaining some indication of the fragments&#x27; size, astronomers studied spectrographic analyses of Jupiter&#x27;s outer atmosphere.  These analyses revealed unprecedented traces of sulfur after the fragments&#x27; entry. The fragments themselves almost certainly contained no sulfur, but many astronomers believe that the cloud layer below Jupiter&#x27;s outer atmosphere does contain sulfur.  Since sulfur would have seeped into the outer atmosphere if comet fragments had penetrated this cloud layer, it is likely that some of the fragments were at least large enough to have passed through Jupiter&#x27;s outer atmosphere without being burned up.<br><br>In the astronomer&#x27;s argument, the two portions in boldface play which of the following roles?",The first presents a circumstance for which the astronomer offers an explanation; the second is part of that explanation.,The first acknowledges a consideration that weighs against the conclusion of the argument; the second is that conclusion.,The first acknowledges a consideration that weighs against the conclusion of the argument; the second provides evidence in support of that conclusion.,The first provides evidence in support of the conclusion of the argument; the second acknowledges a consideration that weighs against that conclusion.,The first is a judgment advanced in support of the conclusion of the argument; the second is that conclusion.,E,,GMAT::Verbal::CriticalReasoning
"Most of the world&#x27;s supply of uranium currently comes from mines.  It is possible to extract uranium from seawater, but the cost of doing so is greater than the price that uranium fetches on the world market.  Therefore, until the cost of extracting uranium from seawater can somehow be reduced, this method of obtaining uranium is unlikely to be commercially viable.<br><br>Which of the following would it be most useful to determine in evaluating the argument?",Whether the uranium in deposits on land is rapidly being depleted,Whether most uranium is used near where it is mined,Whether there are any technological advances that show promise of reducing the cost of extracting uranium from seawater,Whether the total amount of uranium in seawater is significantly greater than the total amount of uranium on land,Whether uranium can be extracted from freshwater at a cost similar to the cost of extracting it from seawater,A,,GMAT::Verbal::CriticalReasoning
"Urban air contains more sulfur dioxide than does rural air, and plants in cities typically grow more slowly than do plants in rural areas.  In an experiment to see how much of the difference in growth is due to sulfur dioxide, classes in an urban and a rural school grew plants in greenhouses at their schools and filtered the greenhouse air to eliminate sulfur dioxide.  Plants in the urban greenhouse grew more slowly than those in the rural greenhouse.<br><br>Which of the following, if true, would it be most important to take into account in evaluating the result?",The urban school was located in a part of the city in which levels of sulfur dioxide in the air were usually far lower than is typical for urban areas.,"At both schools, the plants in the greenhouses grew much more quickly than did plants planted outdoors in plots near the greenhouses.",The urban class conducting the experiment was larger than the rural class conducting the experiment.,"Heavy vehicular traffic such as is found in cities constantly deposits grime on greenhouse windows, reducing the amount of light that reaches the plants inside.","Because of the higher levels of sulfur dioxide in the air at the urban school, the air filters for the urban school&#x27;s greenhouse were changed more frequently than were those at the rural school.",D,,GMAT::Verbal::CriticalReasoning
"Many small roads do not have painted markings along their edges.  Clear edge markings would make it easier for drivers to see upcoming curves and to judge the car&#x27;s position on the road, particularly when visibility is poor, and would therefore seem to be a useful contribution to road safety.  However, after Greatwater County painted edge markings on all its narrow, winding roads, the annual accident rate along those roads actually increased slightly.<br><br>Which of the following, if true, most helps to explain the increase in accident rate?","Greatwater County has an unusually high proportion of narrow, winding roads.",In bad weather it can be nearly as difficult for drivers to see the road as it is at night.,"Prior to the painting of the edge markings, Greatwater County&#x27;s narrow, winding roads already had a somewhat higher accident rate than other Greatwater County roads.","Many of the accidents on narrow, winding roads involve a single vehicle veering off the road, rather than the collision of two vehicles.","After the markings were painted on the roads, many drivers who had gone out of their way to avoid driving on those roads at night no longer did so.",E,,GMAT::Verbal::CriticalReasoning
"Gortland has long been narrowly self-sufficient in both grain and meat. However, as per capita income in Gortland has risen toward the world average, per capita consumption of meat has also risen toward the world average, and it takes several pounds of grain to produce one pound of meat.  Therefore, since per capita income continues to rise, whereas domestic grain production will not increase, Gortland will soon have to import either grain or meat or both.<br><br>Which of the following is an assumption on which the argument depends?",The total acreage devoted to grain production in Gortland will soon decrease.,Importing either grain or meat will not result in a significantly higher percentage of Gortlanders&#x27; incomes being spent on food than is currently the case.,The per capita consumption of meat in Gortland is increasing at roughly the same rate across all income levels.,The per capita income of meat producers in Gortland is rising faster than the per capita income of grain producers.,People in Gortland who increase their consumption of meat will not radically decrease their consumption of grain.,E,,GMAT::Verbal::CriticalReasoning
"For years the beautiful Renaissance buildings in Palitito have been damaged by exhaust from the many tour buses that come to the city.  There has been little parking space, so most buses have idled at the curb during each stop on their tour, and idling produces as much exhaust as driving.  The city has now provided parking that accommodates a third of the tour buses, so damage to Palitito&#x27;s buildings from the buses&#x27; exhaust will diminish significantly.<br><br>Which of the following, if true, most strongly supports the argument?",The exhaust from Palitito&#x27;s few automobiles is not a significant threat to Palitito&#x27;s buildings.,Palitito&#x27;s Renaissance buildings are not threatened by pollution other than engine exhaust.,Tour buses typically spend less than one-quarter of the time they are in Palitito transporting passengers from one site to another.,More tourists come to Palitito by tour bus than by any other single means of transportation.,Some of the tour buses that are unable to find parking drive around Palitito while their passengers are visiting a site.,C,,GMAT::Verbal::CriticalReasoning
"Traces of cultivated emmer wheat have been found among the earliest agricultural remains of many archaeological sites in Europe and Asia.  The only place where the wild form of emmer wheat has been found growing is a relatively narrow strip of southwest Asia.  Since the oldest remains of cultivated emmer wheat yet found are from village sites in the same narrow strip, it is clear that emmer wheat was first domesticated somewhere in that strip.<br><br>Which of the following, if true, most strengthens the argument?","The present-day distribution of another wild wheat, einkorn, which was also domesticated early in the development of agriculture, covers a much larger area of southwest Asia.",Modern experiments show that wild emmer wheat can easily be domesticated so as to yield nearly as well as traditionally domestic strains.,"At the time when emmer wheat was first cultivated, it was the most nutritious of all the varieties of grain that were then cultivated.","In the region containing the strip where wild emmer wheat has been found, climatic conditions have changed very little since before the development of agriculture.","It is very difficult, without genetic testing, to differentiate the wild form of emmer wheat from a closely related wild wheat that also grows in southwest Asia.",D,,GMAT::Verbal::CriticalReasoning
"In the late 1980s, the population of sea otters in the North Pacific began to decline.  There are two plausible explanations for the decline:  predation, possibly by killer whales, or disease.  Of these two, disease is the more likely, since a concurrent sharp decline in populations of seals and sea lions is believed to have been caused by disease, and diseases that infect these creatures are likely to be able to infect sea otters also.<br><br>Which of the following, if true, most seriously weakens the reasoning?","Killer whales in the North Pacific usually prey on seals and sea lions but will, when this food source is scarce, seek out other prey.",There is no indication that the sea otter population at any North Pacific location declined in the 1980s because of substantial numbers of sea otters migrating to other locations.,"Along the Pacific coast of North America in the 1980s, sea otters were absent from many locations where they had been relatively common in former times.","Following the decline in the population of the sea otters, there was an increase in the population of sea urchins, which are sea otters&#x27; main food source.",The North Pacific populations of seals and sea lions cover a wider geographic area than does the population of sea otters.,A,,GMAT::Verbal::CriticalReasoning
"From 1978 to 1988, beverage containers accounted for a steadily decreasing percentage of the total weight of household garbage in the United States.  The increasingly widespread practice of recycling aluminum and glass was responsible for most of this decline.  However, although aluminum recycling was more widely practiced in this period than glass recycling, it was found that the weight of glass bottles in household garbage declined by a greater percentage than the weight of aluminum cans.<br><br>Which of the following, if true of the United States in the period 1978 to 1988, most helps to account for the finding?",Glass bottles are significantly heavier than aluminum cans of comparable size.,"Recycled aluminum cans were almost all beverage containers, but a significant fraction of the recycled glass bottles had contained products other than beverages.","Manufacturers replaced many glass bottles, but few aluminum cans, with plastic containers.",The total weight of glass bottles purchased by households increased at a slightly faster rate than the total weight of aluminum cans.,"In many areas, glass bottles had to be sorted by color of the glass before being recycled, whereas aluminum cans required no sorting.",C,,GMAT::Verbal::CriticalReasoning
"Tiger beetles are such fast runners that they can capture virtually any nonflying insect.  However, when running toward an insect, the beetles intermittently stop, and then, a moment later, resume their attack.  Perhaps they cannot maintain their pace and must pause for a moment&#x27;s rest; but an alternative hypothesis is that while running tiger beetles are unable to process the resulting rapidly changing visual information, and so quickly go blind and stop.<br><br>Which of the following, if discovered in experiments using artificially moved prey insects, would support one of the two hypotheses and undermine the other?","When a prey insect is moved directly toward a beetle that has been chasing it, the beetle immediately turns and runs away without its usual intermittent stopping.","In pursuing a moving insect, the beetles usually respond immediately to changes in the insect&#x27;s direction, and pause equally frequently whether the chase is up or down an incline.","The beetles maintain a fixed time interval between pauses, although when an insect that had been stationary begins to flee, the beetle increases its speed after its next pause.","If, when a beetle pauses, it has not gained on the insect it is pursuing, the beetle generally ends its pursuit.","When an obstacle is suddenly introduced just in front of running beetles, the beetles sometimes stop immediately, but they never respond by running around the barrier.",C,,GMAT::Verbal::CriticalReasoning
"Twelve years ago and again five years ago, there were extended periods when the Darfir Republic&#x27;s currency, the pundra, was weak:  its value was unusually low relative to the world&#x27;s most stable currencies.  Both times a weak pundra made Darfir&#x27;s manufactured products a bargain on world markets, and Darfir&#x27;s exports were up substantially.  Now some politicians are saying that, in order to cause another similarly sized increase in exports, the government should allow the pundra to become weak again.<br><br>Which of the following, if true, provides the government with the strongest grounds to doubt that the politicians&#x27; recommendation, if followed, will achieve its aim?",Several of the politicians now recommending that the pundra be allowed to become weak made that same recommendation before each of the last two periods of currency weakness.,"After several decades of operating well below peak capacity, Darfir&#x27;s manufacturing sector is now operating at near-peak levels.",The economy of a country experiencing a rise in exports will become healthier only if the country&#x27;s currency is strong or the rise in exports is significant.,Those countries whose manufactured products compete with Darfir&#x27;s on the world market all currently have stable currencies.,A sharp improvement in the efficiency of Darfir&#x27;s manufacturing plants would make Darfir&#x27;s products a bargain on world markets even without any weakening of the pundra relative to other currencies.,B,,GMAT::Verbal::CriticalReasoning
"The population of Megacity, a sprawling metropolis in Remsland, has grown at a fairly steady rate for over a century.  A hundred years ago, poor sanitation in the city caused high mortality rates among the city&#x27;s inhabitants, and what fueled the population increase was immigration from rural villages.  This immigration has continued and even increased.  Moreover, in recent decades, city sanitation has improved enormously.  Yet the city&#x27;s population growth has not significantly accelerated.<br><br>Which of the following, if true, most helps to explain why the city&#x27;s population growth rate has not changed?","Mortality rates that were associated with poor sanitation in Megacity a hundred years ago were orders of magnitude higher than are mortality rates associated with vehicular traffic, which is currently a major cause of death in the city.","For several decades, Megacity, as distinct from the countryside, has had a steadily declining birth rate.",Cities smaller than Megacity have also experienced sustained population growth.,"The great majority of immigrants to Remsland settle in Megacity, at least initially.",Megacity has long offered better employment prospects than most rural areas.,B,,GMAT::Verbal::CriticalReasoning
"Plant scientists have used genetic engineering on seeds to produce crop plants that are highly resistant to insect damage.  Unfortunately, the seeds themselves are quite expensive, and the plants require more fertilizer and water to grow well than normal ones.  Thus, for most farmers the savings on pesticides would not compensate for the higher seed costs and the cost of additional fertilizer.  However, since consumer demand for grains, fruits, and vegetables grown without the use of pesticides continues to rise, the use of genetically engineered seeds of this kind is likely to become widespread.<br><br>In the argument given, the two portions in boldface play which of the following roles?",The first supplies a context for the argument; the second is the argument&#x27;s main conclusion.,The first introduces a development that the argument predicts will have a certain outcome; the second is a state of affairs that the argument denies will be part of that outcome.,The first presents a development that the argument predicts will have a certain outcome; the second acknowledges a consideration that weighs against that prediction.,The first provides evidence to support a prediction that the argument seeks to defend; the second is that prediction.,The first and the second each provide evidence to support the argument&#x27;s main conclusion.,C,,GMAT::Verbal::CriticalReasoning
"First-time computer buyers buying PXC home computers typically buy models that cost much less and have a smaller profit margin per computer than do PXC computers bought by people replacing their computers with more powerful models.  Last year PXC&#x27;s profits from computer sales were substantially higher than the previous year, although about the same number of PXC computers were sold and the prices and profit margins for each computer model that PXC sells remained unchanged.<br><br>If the statements above are true, which of the following is most strongly supported by them?","PXC&#x27;s competitors raised the prices on their computers last year, making PXC computers more attractive to first-time computer buyers.","The number of people buying PXC computers who also bought PXC computer-related products, such as printers, was larger last year than the previous year.","Among computer buyers who bought a PXC computer to replace their existing computer, the proportion who were replacing a computer made by a competitor of PXC was greater last year than the previous year.",The proportion of PXC computers bought by first-time computer buyers was smaller last year than the previous year.,PXC&#x27;s production costs for its computers were lower last year than they had been the previous year.,D,,GMAT::Verbal::CriticalReasoning
"To reduce the danger to life and property posed by major earthquakes, scientists have been investigating several techniques for giving advance warning of dangerous earthquakes.  Since catfish swim erratically before earthquakes, some investigators have proposed monitoring catfish to predict dangerous earthquakes.<br><br>Which of the following, if true, most seriously undermines the usefulness of the proposal?","In Japan, which is subject to frequent earthquakes, the behavior of catfish has long been associated with earthquakes.",Mechanical methods for detecting earthquakes have not proved effective.,"Tremors lead to the release of hydrogen sulfide gas into water, thereby causing various fish and shellfish to behave erratically.",Careful construction can reduce the dangers posed by earthquakes.,"Even very slight, fleeting tremors cause catfish to swim erratically.",E,,GMAT::Verbal::CriticalReasoning
"A city plans to attract new citizens with new housing and new facilities such as parks, recreation centers, and libraries.  One component of the city&#x27;s plan is to require that developers seeking permission to build this new housing provide these additional facilities at no cost to the city.<br><br>Which of the following, if true, would point to a possible flaw in the city&#x27;s plan?","Developers would pass along their costs to the buyer, thereby raising the cost of housing units beyond the ability of likely purchasers to afford them.","Light, nonpolluting industries have located in the area, offering more jobs and better-paying jobs than do the more-established industries in the area.",Other towns and cities nearby have yet to embark on any comparable plans to attract new citizens.,Most developers see the extra expense of providing municipal facilities as simply one of the many costs of doing business.,"Studies show that purchasers of new houses, especially first-time buyers, rank recreational resources as an important factor in deciding to buy a particular house.",A,,GMAT::Verbal::CriticalReasoning
"Manufacturers issue cents-off coupons to get consumers to try their brand of product with the hope that the consumers who try their brand will switch their brand loyalty.  So in the initial marketing of their new brand X, Hartman Industries should issue cents-off coupons, thereby attracting a large segment of potential consumers as loyal customers.<br><br>Which of the following, if true, casts the most serious doubt on the likelihood that the marketing strategy recommended above will have the result that is claimed?",Many consumers are unlikely to try new brands of products unless offered an inducement to do so.,The consumers whose purchases are strongly influenced by cents-off coupons tend not to become loyal customers of any particular brand.,Many grocery stores attract customers by doubling the face value of manufacturer&#x27;s coupons.,Typically less than one-third of the coupons issued by a manufacturer are redeemed by consumers.,A marketing campaign that uses cents-off coupons is most effective when combined with a television advertising campaign.,B,,GMAT::Verbal::CriticalReasoning
"State spokesperson:  Many businesspeople who have not been to our state believe that we have an inadequate road system.  Those people are mistaken, as is obvious from the fact that in each of the past six years, our state has spent more money per mile on road improvements than any other state.<br><br>Which of the following, if true, most seriously undermines the reasoning in the spokesperson&#x27;s argument?","In the spokesperson&#x27;s state, spending on road improvements has been increasing more slowly over the past six years than it has in several other states.",Adequacy of a state&#x27;s road system is generally less important to a businessperson considering doing business there than is the availability of qualified employees.,"Over the past six years, numerous businesses have left the spokesperson&#x27;s state, but about as many businesses have moved into the state.","In general, the number of miles of road in a state&#x27;s road system depends on both the area and the population of the state.",Only states with seriously inadequate road systems need to spend large amounts of money on road improvements.,E,,GMAT::Verbal::CriticalReasoning
"When a caterpillar emerges from the egg on a tree branch, it immediately climbs upward until it finds a leaf bud to eat.  Biologists thought that this behavior displayed an innate tendency to move in the direction opposite to the pull of gravity.  In a recent experiment, a strong light source was placed at the bottom of a tree, and caterpillars, after hatching, climbed downward.<br><br>Which of the following hypotheses is best supported by the statements given?",Caterpillars have an innate tendency to move in the direction of gravity.,Newly hatched caterpillars are unable to see in the dark.,Newly hatched caterpillars move towards the strongest light source in the environment.,Newly hatched caterpillars move toward the leaf bud nearest to them.,The eyes of newly hatched caterpillars become less sensitive to light over time.,C,,GMAT::Verbal::CriticalReasoning
"For several years, per capita expenditure on prescription drugs in Voronia rose by fifteen percent or more annually.  In order to curb these dramatic increases, the ministry of health prohibited drug manufacturers from raising any of their products&#x27; prices.  Even though use of prescription drugs did not expand after this price freeze, per capita expenditure for prescription drugs continued to increase by a substantial percentage each year.<br><br>Which of the following, if true, most helps to explain why the ministry&#x27;s action did not achieve its goal?","After price increases were prohibited, drug manufacturers concentrated on producing new medications to replace existing products.",The population of Voronia rose steadily throughout the period.,Improvements in manufacturing processes enabled drug manufacturers to maintain high profit levels on drugs despite the price freeze.,"In addition to imposing a price freeze, the government encouraged doctors to prescribe generic versions of common drugs instead of the more expensive brand-name versions.","After price increases were prohibited, some foreign manufacturers of expensive drugs ceased marketing them in Voronia.",A,,GMAT::Verbal::CriticalReasoning
"Which of the following most logically completes the argument?<br><br>The last members of a now-extinct species of a European wild deer called the giant deer lived in Ireland about 16,000 years ago.  Prehistoric cave paintings in France depict this animal as having a large hump on its back.  Fossils of this animal, however, do not show any hump.  Nevertheless, there is no reason to conclude that the cave paintings are therefore inaccurate in this regard, since __________.",some prehistoric cave paintings in France also depict other animals as having a hump,fossils of the giant deer are much more common in Ireland than in France,"animal humps are composed of fatty tissue, which does not fossilize","the cave paintings of the giant deer were painted well before 16,000 years ago",only one currently existing species of deer has any anatomical feature that even remotely resembles a hump,C,,GMAT::Verbal::CriticalReasoning
